layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.2.attention.self.query,FAIL,0.0,3.025424003601074,3,8,8,"[0.0, 0.02797645516693592, 0.06255725771188736, 83.10269165039062, 85.8110122680664, 86.42691802978516, 87.70751190185547, 89.22441864013672]"
base_model.model.bert.encoder.layer.2.attention.self.value,FAIL,0.0,3.0225062370300293,3,8,8,"[0.0, 0.0, 0.03426402062177658, 82.96468353271484, 85.91744995117188, 87.59845733642578, 88.57162475585938, 89.56147003173828]"
base_model.model.bert.encoder.layer.2.intermediate.dense,FAIL,0.0,3.008136510848999,3,8,8,"[0.0, 0.01978234015405178, 0.02797645516693592, 86.3553695678711, 87.25492095947266, 88.09172058105469, 88.84553527832031, 89.02925109863281]"
base_model.model.bert.encoder.layer.2.output.dense,FAIL,0.0,3.0354831218719482,3,8,8,"[0.0, 0.0, 0.07912936806678772, 82.3494644165039, 83.71805572509766, 86.27497863769531, 87.74568939208984, 89.74883270263672]"
base_model.model.bert.encoder.layer.3.attention.output.dense,FAIL,0.0,3.0236141681671143,3,8,8,"[0.0, 0.03426402062177658, 0.03956468030810356, 83.47758483886719, 85.24407958984375, 87.1037826538086, 88.0166244506836, 89.46954345703125]"
base_model.model.bert.encoder.layer.3.attention.self.key,FAIL,0.0,3.0299315452575684,3,8,8,"[0.0, 0.0, 0.02797645516693592, 83.69033813476562, 84.15813446044922, 86.22925567626953, 86.90097045898438, 89.10189056396484]"
base_model.model.bert.encoder.layer.3.attention.self.query,FAIL,0.0,3.0226638317108154,3,8,8,"[0.0, 0.0, 0.0, 83.60670471191406, 85.50785827636719, 86.63391876220703, 88.62245178222656, 89.41787719726562]"
base_model.model.bert.encoder.layer.3.attention.self.value,FAIL,0.0,3.050161361694336,3,8,8,"[0.0, 0.0, 0.03956468030810356, 81.77477264404297, 82.47850036621094, 85.2491683959961, 85.75235748291016, 89.16482543945312]"
base_model.model.bert.encoder.layer.3.intermediate.dense,FAIL,0.0,3.005509853363037,3,8,8,"[0.0, 0.03426402062177658, 0.03956468030810356, 87.15593719482422, 87.83784484863281, 88.2310562133789, 88.55110168457031, 89.67359161376953]"
base_model.model.bert.encoder.layer.3.output.dense,FAIL,0.0,3.025543451309204,3,8,8,"[0.0, 0.0, 0.01978234015405178, 83.2415542602539, 85.13401794433594, 86.62799835205078, 88.23789978027344, 89.44731140136719]"
