layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.2.attention.output.dense,FAIL,54.813296032822414,0.8439224362373352,3,8,8,"[54.813297271728516, 61.153465270996094, 66.7055892944336, 77.19482421875, 77.88619995117188, 81.05487060546875, 85.83795928955078, 89.41777801513672]"
base_model.model.bert.encoder.layer.2.attention.self.key,FAIL,67.4352294869121,0.38049405813217163,2,8,8,"[67.43523406982422, 73.32445526123047, 76.85739135742188, 77.2164306640625, 80.62531280517578, 82.76773834228516, 85.24490356445312, 88.19485473632812]"
base_model.model.bert.encoder.layer.2.attention.self.query,FAIL,65.98883447732435,0.42016908526420593,3,8,8,"[65.98883819580078, 72.34202575683594, 74.72612762451172, 79.0114517211914, 79.62818908691406, 82.53401184082031, 85.05817413330078, 89.34637451171875]"
base_model.model.bert.encoder.layer.2.attention.self.value,FAIL,57.04182966464666,0.7143368721008301,3,8,8,"[57.041831970214844, 58.37177276611328, 74.85598754882812, 78.8162841796875, 81.61811828613281, 84.5181655883789, 85.575439453125, 88.03473663330078]"
base_model.model.bert.encoder.layer.2.intermediate.dense,PASS,78.31736691033238,0.0759163349866867,0,8,8,"[78.31736755371094, 81.53494262695312, 85.71539306640625, 86.70878601074219, 87.45375061035156, 87.73553466796875, 88.61892700195312, 89.09259796142578]"
base_model.model.bert.encoder.layer.2.output.dense,FAIL,54.49576736849769,0.7619056701660156,3,8,8,"[54.49576950073242, 62.98872756958008, 71.81263732910156, 75.18517303466797, 80.60157775878906, 82.72652435302734, 83.51006317138672, 89.4887466430664]"
base_model.model.bert.encoder.layer.3.attention.output.dense,FAIL,56.71359809389253,0.6548202037811279,3,8,8,"[56.713600158691406, 64.57784271240234, 74.228515625, 77.5754623413086, 80.02452087402344, 83.8309097290039, 86.24562072753906, 86.69866943359375]"
base_model.model.bert.encoder.layer.3.attention.self.key,FAIL,64.92840662754485,0.4139931797981262,3,8,8,"[64.92840576171875, 72.34957122802734, 74.2295913696289, 79.08976745605469, 82.5328369140625, 83.53672790527344, 86.92505645751953, 88.90401458740234]"
base_model.model.bert.encoder.layer.3.attention.self.query,FAIL,62.51408502010708,0.5390820503234863,3,8,8,"[62.51408386230469, 67.27059173583984, 72.07498168945312, 77.30946350097656, 80.6866226196289, 85.12928771972656, 88.94155883789062, 89.57001495361328]"
base_model.model.bert.encoder.layer.3.attention.self.value,FAIL,53.1833328591014,0.6167164444923401,2,8,8,"[53.18333435058594, 67.29331970214844, 77.64437103271484, 79.28707885742188, 82.05268096923828, 84.74158477783203, 88.50811767578125, 89.53340911865234]"
