layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
encoder.layer.8.attention.self.key,FAIL,1.8997067673952686,2.53037166595459,2,8,8,"[1.8997068405151367, 3.060622215270996, 59.65141677856445, 65.91154479980469, 74.08747863769531, 81.0223388671875, 85.00643157958984, 85.80389404296875]"
encoder.layer.8.attention.self.value,FAIL,2.0344202959427227,3.2974016666412354,3,8,8,"[2.0344202518463135, 2.54368257522583, 3.3662736415863037, 66.34550476074219, 71.10809326171875, 80.06454467773438, 84.80776977539062, 88.99571228027344]"
encoder.layer.8.attention.self.dense,PASS,89.99998884409983,6.952512160820004e-14,0,8,8,"[89.99999237060547, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
encoder.layer.9.attention.self.query,FAIL,2.4541548437904583,3.3524060249328613,3,8,8,"[2.4541549682617188, 2.750720977783203, 3.0067403316497803, 66.76078033447266, 69.2249755859375, 75.02994537353516, 84.01454162597656, 89.1948471069336]"
encoder.layer.9.attention.self.key,FAIL,2.287387450911546,3.4230451583862305,3,8,8,"[2.2873873710632324, 2.5157506465911865, 3.277635097503662, 59.180999755859375, 70.11583709716797, 79.25492858886719, 83.84895324707031, 85.77332305908203]"
encoder.layer.9.attention.self.value,FAIL,2.1583075477688833,1.946981430053711,1,8,8,"[2.1583075523376465, 53.18528747558594, 58.36098098754883, 69.50566864013672, 70.77527618408203, 76.1677017211914, 80.9882583618164, 87.8118667602539]"
encoder.layer.9.attention.self.dense,FAIL,2.284390705413203,2.6428136825561523,2,8,8,"[2.284390687942505, 3.0848324298858643, 54.60337829589844, 69.53697204589844, 71.61992645263672, 76.7327880859375, 78.9563980102539, 88.40120697021484]"
encoder.layer.10.attention.self.query,PASS,89.99998884409983,8.176648241950066e-14,0,8,8,"[89.99999237060547, 89.99999237060547, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
encoder.layer.10.attention.self.key,FAIL,1.9880036110037853,3.2569220066070557,3,8,8,"[1.9880036115646362, 2.3395862579345703, 3.108098030090332, 69.1158218383789, 74.5763931274414, 76.91900634765625, 83.4779281616211, 88.38297271728516]"
encoder.layer.10.attention.self.value,FAIL,2.5077240174508684,2.6327760219573975,2,8,8,"[2.5077240467071533, 3.1017301082611084, 61.43593215942383, 63.97222900390625, 70.51725769042969, 72.73414611816406, 83.27012634277344, 86.66532897949219]"
encoder.layer.10.attention.self.dense,FAIL,3.0978775480625345,1.6042293310165405,1,8,8,"[3.0978775024414062, 56.27564239501953, 66.06082916259766, 73.95783233642578, 79.01921081542969, 83.49874114990234, 85.1031723022461, 87.77838134765625]"
encoder.layer.11.attention.self.query,PASS,89.99998884409983,7.316609612010444e-14,0,8,8,"[89.99999237060547, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
encoder.layer.11.attention.self.key,FAIL,1.8912403210322146,3.3194870948791504,3,8,8,"[1.8912403583526611, 2.3357350826263428, 3.9682252407073975, 64.3046646118164, 74.34730529785156, 77.00062561035156, 83.11821746826172, 87.95036315917969]"
encoder.layer.11.attention.self.value,FAIL,2.6062430929259555,1.731223702430725,1,8,8,"[2.606243133544922, 55.14688491821289, 67.92239379882812, 70.54191589355469, 74.57738494873047, 76.14546966552734, 81.41913604736328, 86.30876159667969]"
encoder.layer.11.attention.self.dense,FAIL,1.8219862582731052,3.4565389156341553,3,8,8,"[1.8219863176345825, 2.2093913555145264, 2.9790725708007812, 59.40876770019531, 66.26145935058594, 79.01749420166016, 86.450439453125, 88.63980102539062]"
