layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.2.attention.output.dense,FAIL,57.8481710622071,0.6508119106292725,3,8,8,"[57.84817123413086, 68.18882751464844, 72.7091293334961, 75.58250427246094, 77.08650970458984, 81.22869110107422, 86.552001953125, 87.18305206298828]"
base_model.model.bert.encoder.layer.2.attention.self.key,FAIL,59.80370886309512,0.5607051253318787,3,8,8,"[59.8037109375, 67.3790283203125, 73.41083526611328, 77.97598266601562, 82.31288146972656, 82.6713638305664, 88.47107696533203, 89.93814086914062]"
base_model.model.bert.encoder.layer.2.attention.self.query,FAIL,55.93732660415307,0.779687225818634,3,8,8,"[55.93732833862305, 62.40717315673828, 68.32146453857422, 75.2254409790039, 80.99752044677734, 81.34373474121094, 87.10053253173828, 89.09293365478516]"
base_model.model.bert.encoder.layer.2.attention.self.value,FAIL,59.84965554564179,0.6128746867179871,3,8,8,"[59.84965515136719, 65.22635650634766, 70.68999481201172, 78.23004913330078, 81.1484146118164, 85.2271728515625, 86.63246154785156, 89.9850082397461]"
base_model.model.bert.encoder.layer.2.intermediate.dense,FAIL,62.83361492985862,0.32182931900024414,1,8,8,"[62.833614349365234, 76.48485565185547, 81.53008270263672, 83.06563568115234, 84.11170196533203, 84.27151489257812, 87.44893646240234, 89.8066635131836]"
base_model.model.bert.encoder.layer.2.output.dense,FAIL,53.28111726235389,1.1273012161254883,4,8,8,"[53.2811164855957, 55.8992919921875, 63.00566101074219, 66.39349365234375, 75.91494750976562, 81.10165405273438, 85.90118408203125, 88.32788848876953]"
base_model.model.bert.encoder.layer.3.attention.output.dense,FAIL,61.73420719048586,0.6424073576927185,4,8,8,"[61.73420715332031, 67.92391967773438, 70.98519897460938, 73.0821304321289, 76.58336639404297, 80.87755584716797, 85.30238342285156, 88.88973999023438]"
base_model.model.bert.encoder.layer.3.attention.self.key,FAIL,58.88338868376009,0.5612306594848633,3,8,8,"[58.88338851928711, 72.35808563232422, 73.53325653076172, 75.85380554199219, 78.06852722167969, 83.68611145019531, 85.0962142944336, 89.44187927246094]"
base_model.model.bert.encoder.layer.3.attention.self.query,FAIL,58.596370474457814,0.6532968878746033,4,8,8,"[58.596370697021484, 66.43389129638672, 71.82411193847656, 74.30171966552734, 78.58993530273438, 83.85645294189453, 88.38238525390625, 89.61624145507812]"
base_model.model.bert.encoder.layer.3.attention.self.value,FAIL,55.38331971528958,0.9845927953720093,3,8,8,"[55.38331985473633, 56.50983428955078, 61.31155014038086, 76.4994888305664, 78.84667205810547, 80.28474426269531, 85.42603302001953, 89.1933822631836]"
base_model.model.bert.encoder.layer.3.intermediate.dense,FAIL,57.33276498743794,0.5271268486976624,2,8,8,"[57.332767486572266, 69.7379150390625, 75.86811828613281, 80.05950164794922, 82.48890686035156, 84.98522186279297, 87.71589660644531, 89.35832977294922]"
base_model.model.bert.encoder.layer.3.output.dense,FAIL,58.26360365809479,0.9073105454444885,4,8,8,"[58.26360321044922, 61.9689826965332, 62.88935089111328, 71.17538452148438, 76.52951049804688, 79.5001449584961, 84.65586853027344, 87.54610443115234]"
base_model.model.bert.encoder.layer.4.attention.output.dense,FAIL,51.276671891914,0.8433759212493896,4,8,8,"[51.27667236328125, 66.05984497070312, 67.30696868896484, 73.48383331298828, 78.83740997314453, 83.44921112060547, 85.65602111816406, 87.7767333984375]"
base_model.model.bert.encoder.layer.4.attention.self.key,FAIL,56.71350247124415,0.7844862341880798,4,8,8,"[56.713504791259766, 64.97949981689453, 69.28756713867188, 71.26467895507812, 77.40359497070312, 82.06036376953125, 85.7020034790039, 86.4268798828125]"
base_model.model.bert.encoder.layer.4.attention.self.query,FAIL,54.467780668373564,0.7776080965995789,3,8,8,"[54.46778106689453, 64.09310150146484, 67.35440063476562, 76.451416015625, 79.4920883178711, 84.44528198242188, 87.3727035522461, 88.0909194946289]"
base_model.model.bert.encoder.layer.4.attention.self.value,FAIL,56.32238193370713,0.9745116829872131,4,8,8,"[56.322383880615234, 58.76902389526367, 65.37309265136719, 68.81929016113281, 77.75086212158203, 79.61923217773438, 83.01577758789062, 87.61540222167969]"
base_model.model.bert.encoder.layer.4.intermediate.dense,FAIL,57.85775381761263,0.5214184522628784,2,8,8,"[57.85775375366211, 70.93161010742188, 76.2266845703125, 77.79846954345703, 81.4200439453125, 84.9196548461914, 89.22378540039062, 89.87525177001953]"
base_model.model.bert.encoder.layer.4.output.dense,FAIL,55.944539283916605,0.9465137720108032,5,8,8,"[55.94453811645508, 60.91994094848633, 66.92507934570312, 71.51895141601562, 73.871337890625, 78.83476257324219, 80.4421615600586, 88.9122314453125]"
base_model.model.bert.encoder.layer.5.attention.output.dense,FAIL,51.19464815017132,0.9645885825157166,4,8,8,"[51.19464874267578, 61.381649017333984, 66.31866455078125, 73.51551055908203, 76.04411315917969, 81.80779266357422, 81.86835479736328, 87.35334014892578]"
base_model.model.bert.encoder.layer.5.attention.self.key,FAIL,52.9922344114082,0.8727195858955383,4,8,8,"[52.99223327636719, 62.388668060302734, 69.89012908935547, 74.60133361816406, 75.08035278320312, 79.29426574707031, 85.73591613769531, 88.64938354492188]"
base_model.model.bert.encoder.layer.5.attention.self.query,FAIL,58.61059775849895,0.8087561130523682,4,8,8,"[58.610599517822266, 63.501792907714844, 64.42984771728516, 72.13316345214844, 78.87434387207031, 83.45709991455078, 85.10852813720703, 88.73017120361328]"
base_model.model.bert.encoder.layer.5.attention.self.value,FAIL,57.63967953779247,0.9114645719528198,5,8,8,"[57.639678955078125, 60.569496154785156, 64.91242218017578, 71.03632354736328, 74.62168884277344, 82.25272369384766, 84.39340209960938, 89.39250946044922]"
base_model.model.bert.encoder.layer.5.intermediate.dense,FAIL,59.29809044940658,0.5564762949943542,3,8,8,"[59.298091888427734, 70.08002471923828, 71.42414855957031, 77.54129791259766, 82.16314697265625, 84.0181884765625, 87.29499053955078, 89.82257843017578]"
base_model.model.bert.encoder.layer.5.output.dense,FAIL,53.74608580519709,1.1950843334197998,5,8,8,"[53.74608612060547, 59.129966735839844, 62.81569290161133, 65.5274658203125, 67.89734649658203, 77.31537628173828, 83.72149658203125, 89.68807220458984]"
base_model.model.bert.encoder.layer.6.attention.output.dense,FAIL,54.96744998729502,1.0973434448242188,5,8,8,"[54.96744918823242, 60.56250762939453, 65.07154083251953, 66.55259704589844, 71.09563446044922, 76.11459350585938, 80.47276306152344, 88.94789123535156]"
base_model.model.bert.encoder.layer.6.attention.self.key,FAIL,55.42883609591855,0.7496381998062134,3,8,8,"[55.428836822509766, 62.55973815917969, 71.34980010986328, 77.1753158569336, 77.24585723876953, 84.05545043945312, 86.23870086669922, 89.9616470336914]"
base_model.model.bert.encoder.layer.6.attention.self.query,FAIL,56.288613478450586,0.723084568977356,3,8,8,"[56.288612365722656, 64.21648406982422, 72.01336669921875, 75.14422607421875, 80.05327606201172, 80.314208984375, 85.33430480957031, 89.98226928710938]"
base_model.model.bert.encoder.layer.6.attention.self.value,FAIL,50.90606582754911,1.2476122379302979,5,8,8,"[50.90606689453125, 56.84347915649414, 61.81786346435547, 64.16841125488281, 69.7120361328125, 83.07220458984375, 86.78473663330078, 89.83365631103516]"
base_model.model.bert.encoder.layer.6.intermediate.dense,FAIL,55.97740273910812,0.552157461643219,2,8,8,"[55.97740173339844, 72.23406219482422, 75.30704498291016, 78.017578125, 80.74685668945312, 85.03130340576172, 86.0007553100586, 88.95247650146484]"
base_model.model.bert.encoder.layer.6.output.dense,FAIL,51.48420718984484,1.3351025581359863,5,8,8,"[51.48420715332031, 55.52731704711914, 56.66796112060547, 65.5688705444336, 74.07732391357422, 77.36922454833984, 80.23421478271484, 87.38202667236328]"
base_model.model.bert.encoder.layer.7.attention.output.dense,FAIL,51.36088812438026,1.3338855504989624,5,8,8,"[51.36088943481445, 52.60451126098633, 59.24323654174805, 65.46350860595703, 72.00399017333984, 79.18017578125, 84.44194793701172, 88.08404541015625]"
base_model.model.bert.encoder.layer.7.attention.self.key,FAIL,53.10045192861788,1.0774011611938477,4,8,8,"[53.1004524230957, 61.45769500732422, 62.18642044067383, 67.804931640625, 75.53264617919922, 76.17353820800781, 84.77368927001953, 88.9061279296875]"
base_model.model.bert.encoder.layer.7.attention.self.query,FAIL,51.617160237133724,1.2137629985809326,5,8,8,"[51.61716079711914, 57.16449737548828, 60.72521209716797, 67.23167419433594, 72.784423828125, 78.98748779296875, 81.7221450805664, 88.70781707763672]"
base_model.model.bert.encoder.layer.7.attention.self.value,FAIL,57.10390583891832,0.9579810500144958,5,8,8,"[57.103904724121094, 61.533931732177734, 63.3211555480957, 69.22608184814453, 72.66678619384766, 82.48564910888672, 87.0999984741211, 89.83770751953125]"
base_model.model.bert.encoder.layer.7.intermediate.dense,FAIL,54.859218809706995,0.6001142263412476,3,8,8,"[54.85921859741211, 70.53797149658203, 72.45049285888672, 79.6600570678711, 81.00902557373047, 84.96841430664062, 87.38856506347656, 88.75045776367188]"
base_model.model.bert.encoder.layer.7.output.dense,FAIL,49.77653012374742,1.8026552200317383,6,8,8,"[49.77653121948242, 53.45180892944336, 55.7166748046875, 55.8436393737793, 62.38074493408203, 65.59288024902344, 83.54843139648438, 89.18533325195312]"
base_model.model.bert.encoder.layer.8.attention.output.dense,FAIL,53.49268578698962,1.358315348625183,6,8,8,"[53.4926872253418, 55.95392990112305, 61.68320846557617, 62.31633758544922, 68.25533294677734, 74.55706024169922, 78.6455078125, 86.76988983154297]"
base_model.model.bert.encoder.layer.8.attention.self.key,FAIL,53.029988282045444,1.010989785194397,4,8,8,"[53.02998733520508, 55.8713493347168, 68.65813446044922, 71.26887512207031, 75.4807357788086, 79.46488952636719, 87.80101776123047, 88.0096664428711]"
base_model.model.bert.encoder.layer.8.attention.self.query,FAIL,46.53038026786131,1.2899634838104248,4,8,8,"[46.53038024902344, 54.253578186035156, 61.15852355957031, 65.53099822998047, 78.03083801269531, 81.33350372314453, 86.13236236572266, 88.33100128173828]"
base_model.model.bert.encoder.layer.8.attention.self.value,FAIL,54.76010251956635,0.9842948913574219,5,8,8,"[54.760101318359375, 62.423789978027344, 65.30062866210938, 70.04805755615234, 71.64816284179688, 80.24431610107422, 83.18108367919922, 86.33894348144531]"
base_model.model.bert.encoder.layer.8.intermediate.dense,FAIL,55.16452143541739,0.6991037726402283,3,8,8,"[55.164520263671875, 65.45448303222656, 73.41282653808594, 76.07977294921875, 78.25222778320312, 83.03630828857422, 86.2956771850586, 88.6668701171875]"
base_model.model.bert.encoder.layer.8.output.dense,FAIL,46.34631349991864,1.6786099672317505,6,8,8,"[46.3463134765625, 51.34560775756836, 56.219627380371094, 63.689876556396484, 66.15516662597656, 72.78208923339844, 77.45537567138672, 84.82904052734375]"
base_model.model.bert.encoder.layer.9.attention.output.dense,FAIL,54.77505038856493,1.3308378458023071,5,8,8,"[54.77505111694336, 58.12377166748047, 59.76322555541992, 64.22492980957031, 66.28207397460938, 75.34839630126953, 77.35731506347656, 86.8969497680664]"
base_model.model.bert.encoder.layer.9.attention.self.key,FAIL,53.933045158253265,1.1479876041412354,6,8,8,"[53.93304443359375, 59.64425277709961, 62.5412483215332, 68.08885192871094, 72.26458740234375, 74.63433074951172, 80.62925720214844, 86.1143798828125]"
base_model.model.bert.encoder.layer.9.attention.self.query,FAIL,46.07211214059389,1.6785705089569092,5,8,8,"[46.072113037109375, 50.58114242553711, 57.35640335083008, 61.19210433959961, 62.62774658203125, 76.93439483642578, 85.0194320678711, 88.30699157714844]"
base_model.model.bert.encoder.layer.9.attention.self.value,FAIL,50.442617001796236,1.2208669185638428,6,8,8,"[50.44261932373047, 56.2716064453125, 61.72679901123047, 71.05852508544922, 73.1933364868164, 74.61701202392578, 81.43754577636719, 88.09703826904297]"
base_model.model.bert.encoder.layer.9.intermediate.dense,FAIL,62.60741955511531,0.43854206800460815,2,8,8,"[62.607421875, 72.79316711425781, 75.46981811523438, 78.73587036132812, 81.58404541015625, 83.46955871582031, 86.46006774902344, 89.47129821777344]"
base_model.model.bert.encoder.layer.9.output.dense,FAIL,48.9499577058654,1.2901180982589722,4,8,8,"[48.94995880126953, 54.316463470458984, 57.44771194458008, 67.83944702148438, 77.16522216796875, 80.6666259765625, 84.21885681152344, 88.19107818603516]"
base_model.model.bert.pooler.dense,FAIL,62.83372421288534,0.3850783109664917,2,8,8,"[62.83372497558594, 69.58728790283203, 81.1904525756836, 82.54843139648438, 84.62718200683594, 86.44046783447266, 87.7020034790039, 88.76237487792969]"
