layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.2.attention.output.dense,PASS,79.82242641470138,0.092526376247406,0,8,8,"[79.82242584228516, 82.42008209228516, 82.93511199951172, 83.41903686523438, 84.8512191772461, 85.35623931884766, 88.62605285644531, 88.77330780029297]"
base_model.model.bert.encoder.layer.2.attention.self.key,PASS,79.39049891196811,0.09701185673475266,0,8,8,"[79.3905029296875, 82.11219024658203, 82.65237426757812, 83.73260498046875, 84.20065307617188, 86.89738464355469, 87.16519165039062, 88.82337951660156]"
base_model.model.bert.encoder.layer.2.attention.self.query,PASS,76.30733103005684,0.14467832446098328,0,8,8,"[76.30733489990234, 78.35355377197266, 80.97723388671875, 83.10413360595703, 86.06809997558594, 86.57913208007812, 88.57640838623047, 89.90788269042969]"
base_model.model.bert.encoder.layer.2.attention.self.value,PASS,75.44323696796936,0.12985903024673462,0,8,8,"[75.4432373046875, 79.9910888671875, 82.61727905273438, 84.53185272216797, 85.26329803466797, 86.95323181152344, 88.43614959716797, 88.71870422363281]"
base_model.model.bert.encoder.layer.2.intermediate.dense,PASS,84.63782589277626,0.024180956184864044,0,8,8,"[84.63782501220703, 85.9385986328125, 86.2247543334961, 86.9595947265625, 87.34306335449219, 88.44725799560547, 89.1125259399414, 89.275146484375]"
base_model.model.bert.encoder.layer.2.output.dense,PASS,79.57229805710634,0.08421433717012405,0,8,8,"[79.57229614257812, 81.33262634277344, 83.24525451660156, 85.30794525146484, 86.08824157714844, 87.2997817993164, 87.92700958251953, 89.64738464355469]"
base_model.model.bert.encoder.layer.3.attention.output.dense,PASS,78.91921585923723,0.10989230126142502,0,8,8,"[78.91921997070312, 80.24772644042969, 81.6019515991211, 83.09717559814453, 85.62676239013672, 87.4130859375, 88.58269500732422, 89.72425842285156]"
base_model.model.bert.encoder.layer.3.attention.self.key,PASS,77.4112262037143,0.11801086366176605,0,8,8,"[77.41122436523438, 81.02471923828125, 81.43824768066406, 83.5434341430664, 85.64766693115234, 86.33515167236328, 87.8203353881836, 89.52464294433594]"
base_model.model.bert.encoder.layer.3.attention.self.query,PASS,79.39323781782528,0.08119936287403107,0,8,8,"[79.39324188232422, 81.48133850097656, 83.36038208007812, 85.14208984375, 86.8646011352539, 87.96223449707031, 88.65780639648438, 89.68370056152344]"
base_model.model.bert.encoder.layer.3.attention.self.value,PASS,78.82286921080502,0.10323622077703476,0,8,8,"[78.82286834716797, 80.54674530029297, 82.23094177246094, 84.086669921875, 85.11476135253906, 87.49435424804688, 88.58594512939453, 89.71221160888672]"
base_model.model.bert.encoder.layer.3.intermediate.dense,PASS,84.30370669895757,0.02757268212735653,0,8,8,"[84.3037109375, 85.60023498535156, 85.9833755493164, 86.75579071044922, 87.5394287109375, 87.73532104492188, 89.00416564941406, 89.74324035644531]"
base_model.model.bert.encoder.layer.3.output.dense,PASS,79.84252083123955,0.0787399560213089,0,8,8,"[79.84252166748047, 82.33663177490234, 83.2677230834961, 84.79778289794922, 86.20006561279297, 87.63204193115234, 88.00760650634766, 88.61508178710938]"
base_model.model.bert.encoder.layer.4.attention.output.dense,PASS,79.26926988438956,0.06987744569778442,0,8,8,"[79.26927185058594, 82.61131286621094, 85.28331756591797, 85.55543518066406, 86.0606460571289, 88.39540100097656, 88.92202758789062, 89.60861206054688]"
base_model.model.bert.encoder.layer.4.attention.self.key,PASS,78.2530401887292,0.11340548098087311,0,8,8,"[78.25304412841797, 80.47987365722656, 81.23445892333984, 84.5000228881836, 85.17850494384766, 86.433349609375, 88.02354431152344, 89.52833557128906]"
base_model.model.bert.encoder.layer.4.attention.self.query,PASS,76.99836858914371,0.14668820798397064,0,8,8,"[76.99836730957031, 78.35818481445312, 79.58321380615234, 84.44075775146484, 84.8416748046875, 86.54520416259766, 87.85881805419922, 89.26262664794922]"
base_model.model.bert.encoder.layer.4.attention.self.value,PASS,78.24211871624635,0.12687642872333527,0,8,8,"[78.24211883544922, 80.0133285522461, 81.08299255371094, 82.17669677734375, 84.91423797607422, 86.17625427246094, 88.88973236083984, 89.6281509399414]"
base_model.model.bert.encoder.layer.4.intermediate.dense,PASS,84.03046498121121,0.024875544011592865,0,8,8,"[84.03046417236328, 85.50513458251953, 86.62893676757812, 87.62332916259766, 87.67485809326172, 88.40644836425781, 89.18034362792969, 89.38157653808594]"
base_model.model.bert.encoder.layer.4.output.dense,PASS,77.51000439949102,0.12768694758415222,0,8,8,"[77.51000213623047, 78.88416290283203, 81.43589782714844, 83.57865905761719, 85.23981475830078, 87.6583480834961, 88.91580200195312, 89.30425262451172]"
base_model.model.bert.encoder.layer.5.attention.output.dense,PASS,78.3838519717133,0.08385276794433594,0,8,8,"[78.38385009765625, 82.97921752929688, 83.75167846679688, 84.53451538085938, 86.34343719482422, 87.65473175048828, 87.8770751953125, 88.94709014892578]"
base_model.model.bert.encoder.layer.5.attention.self.key,PASS,80.37202441645562,0.08102884888648987,0,8,8,"[80.37202453613281, 82.10498809814453, 82.64026641845703, 83.90496063232422, 86.87813568115234, 87.45055389404297, 88.29430389404297, 88.51082611083984]"
base_model.model.bert.encoder.layer.5.attention.self.query,PASS,78.18801678783069,0.1271066665649414,0,8,8,"[78.18801879882812, 79.3904037475586, 81.7396240234375, 83.42254638671875, 84.21078491210938, 85.86798858642578, 87.6669692993164, 88.69384765625]"
base_model.model.bert.encoder.layer.5.attention.self.value,PASS,77.5923491601247,0.1289624273777008,0,8,8,"[77.59235382080078, 79.74978637695312, 81.48439025878906, 82.80854797363281, 84.61609649658203, 86.21707916259766, 89.02696990966797, 89.4681396484375]"
base_model.model.bert.encoder.layer.5.intermediate.dense,PASS,84.70068412370789,0.022824708372354507,0,8,8,"[84.70068359375, 85.36483001708984, 86.45940399169922, 86.9963607788086, 88.31079864501953, 89.06140899658203, 89.52957916259766, 89.9893569946289]"
base_model.model.bert.encoder.layer.5.output.dense,PASS,78.03776628646874,0.1075301468372345,0,8,8,"[78.03776550292969, 80.8831787109375, 82.3661117553711, 83.55110168457031, 85.11629486083984, 87.7262191772461, 88.8830795288086, 89.9493637084961]"
base_model.model.bert.encoder.layer.6.attention.output.dense,PASS,76.96313164321562,0.1246977150440216,0,8,8,"[76.963134765625, 81.47152709960938, 81.73760223388672, 83.24421691894531, 83.5687484741211, 86.6256332397461, 88.08973693847656, 89.17630767822266]"
base_model.model.bert.encoder.layer.6.attention.self.key,PASS,77.8347867247143,0.11409645527601242,0,8,8,"[77.83478546142578, 80.66647338867188, 81.53489685058594, 83.1153335571289, 85.98111724853516, 87.8340835571289, 88.4295425415039, 89.08399200439453]"
base_model.model.bert.encoder.layer.6.attention.self.query,PASS,76.51743447911561,0.11847143620252609,0,8,8,"[76.5174331665039, 80.58433532714844, 82.74893188476562, 83.1224365234375, 85.95237731933594, 87.68611145019531, 88.92755126953125, 89.38285064697266]"
base_model.model.bert.encoder.layer.6.attention.self.value,PASS,77.61099557655884,0.13000376522541046,0,8,8,"[77.61100006103516, 79.28131866455078, 81.50542449951172, 82.98677062988281, 85.06853485107422, 86.65011596679688, 87.5353012084961, 89.97227478027344]"
